State,District,Population Rural,Population Urban,Children Received Polio Birth Rural,Children Received Polio Birth Urban,Children Did Not Receive Any Vaccination Rural,Children Did Not Receive Any Vaccination Urban,Children Received Measles Vaccine Rural,Children Received Measles Vaccine Urban,Children Fully Immunized Rural,Children Fully Immunized Urban,Children Received Bcg Rural,Children Received Bcg Urban,Diarrhoea Dysentery Male Rural,Diarrhoea Dysentery Male Urban,Diarrhoea Dysentery Female Rural,Diarrhoea Dysentery Female Urban,Respiratory Infection Male Rural,Respiratory Infection Male Urban,Respiratory Infection Female Rural,Respiratory Infection Female Urban,Fever Male Rural,Fever Male Urban,Fever Female Rural,Fever Female Urban,Acute Illness Male Rural,Acute Illness Male Urban,Acute Illnes Female Rural,Acute Illness Female Urban,Acute Illness And Treatment From Any Source Rural,Acute Illness And Taking Treatment From Any Source Urban,Acute Illness And Taking Treatment From Any Source Male Rural,Acute Illness And Taking  Treatment From Any Source  Male Urban,Acute Illness And Taking Treatment From Any Source Female Rural,Acute Illness And Taking Treatment From Any Source Female Urban,Acute Illness And Taking Treatment From Government Source Person Rural,Acute Illness And Taking Treatment From Government Person Urban,Acute Illness And Taking Treatment From Government Male Rural,Acute Illness And Taking Treatment From Government Sourc Male Urban,Acute Illness An Taking Treatment From Governmen FemaleRural,Acute Illness And Taking Treatment From Government Female Urban,Women Aware Of Hiv And Aids Rural,Women Aware Of Hiv And Aids Urban,Women Aware Of Rti And Sti Rural,Women Aware Of Rti And Sti Urban,Women Aware Of Haf Ors And Ort And Zinc And Rural,Women Aware Of Haf Ors And Ort And Zinc And Urban,Women Aware Of Ari And  Pneumonia Rural,Women Aware Of Ari And  Pneumonia Urban
Uttar Pradesh,Bulandshahar,43608,15865,65.24,69.58,1.8,2.41,71.05,70.63,52.11,52.86,92.54,88.86,311.61,481.6,285.57,352.3,14359.66,11990.61,16128.77,13401.08,6218.26,4951.84,8221.83,6273.71,21269.37,17868.61,25158.93,20691.06,96.61,98.02,97.09,98.2,96.17,97.84,1.59,2.44,1.62,2.32,1.55,2.54,70.34,83.15,55.4,57.4,96.96,99.65,96.91,97.16
Uttar Pradesh,Chandauli,84197,8192,81.79,79.2,9.12,12.4,65.95,62.0,60.36,58.4,84.43,80.4,685.37,285.34,846.86,165.29,10010.48,12658.88,9941.3,14986.23,7370.52,622.57,7577.34,1239.67,18787.97,13800.26,19147.11,16611.57,99.77,99.74,99.91,99.62,99.63,99.83,8.32,14.4,8.14,16.23,8.49,12.79,86.94,96.26,96.27,99.0,98.82,99.75,96.54,98.0
Uttar Pradesh,Chitrakoot,81889,6943,76.85,79.64,5.73,0.6,61.59,74.25,47.15,62.28,91.96,98.8,682.71,174.37,677.39,33.33,162.85,552.17,160.56,200.0,1930.32,1162.45,2780.37,1566.67,3073.26,2034.29,4019.54,1966.67,99.11,100.0,98.98,100.0,99.22,100.0,13.77,15.5,12.79,15.71,14.56,15.25,50.64,75.59,70.64,69.68,88.38,93.01,99.71,100.0
Uttar Pradesh,Deoria,60464,5450,65.47,59.12,8.27,6.08,71.3,61.33,67.15,58.56,86.68,88.4,765.39,542.57,824.18,420.33,6348.96,8263.77,5933.72,7718.76,878.61,751.25,990.22,1260.99,8262.65,9599.33,7977.62,9552.92,98.65,98.75,98.68,99.13,98.63,98.4,2.1,3.16,1.81,3.51,2.35,2.85,82.41,89.43,98.41,99.07,99.83,99.88,92.48,91.75
Uttar Pradesh,Etah,47323,5621,64.94,79.47,3.12,2.28,53.46,76.05,36.96,60.08,87.75,93.16,438.03,619.83,426.12,311.89,22363.33,22830.58,24938.43,25497.08,2670.44,2169.42,2892.14,2923.98,25791.16,26239.67,28866.85,29317.74,92.6,96.43,92.8,96.46,92.41,96.41,3.22,5.68,3.0,5.58,3.44,5.79,34.99,87.29,45.97,69.48,98.82,99.17,97.15,96.67
Uttar Pradesh,Etawah,61926,14867,78.15,80.63,8.13,3.15,72.69,90.32,54.6,74.32,90.93,93.02,675.99,285.42,612.03,225.67,900.91,1024.91,909.88,1098.24,1773.11,1491.96,2526.64,2121.26,3417.58,2841.2,4264.24,4077.03,95.96,99.18,97.64,99.09,94.34,99.26,8.94,11.93,7.23,10.6,10.64,13.01,74.35,91.08,73.62,77.43,99.07,99.02,96.47,98.53
Uttar Pradesh,Faizabad,55957,6262,79.8,81.87,6.9,4.4,70.57,74.73,65.67,72.53,86.6,87.36,914.69,592.54,897.9,617.52,6590.78,3834.09,6705.41,4399.85,1446.02,522.83,1766.03,501.74,9363.71,5123.74,9902.18,5789.27,98.97,99.66,98.72,99.32,99.2,100.0,4.31,7.09,4.97,7.53,3.72,6.67,77.49,95.41,93.89,97.94,98.94,100.0,95.77,97.82
Uttar Pradesh,Farrukhabad,46683,7428,73.58,83.75,13.97,10.47,55.66,71.12,40.81,55.6,81.82,89.53,900.2,654.62,1205.99,700.73,1679.78,1413.98,1684.05,1459.85,2643.18,968.84,4538.43,1284.67,5319.82,3168.37,7631.43,3708.03,100.0,100.0,100.0,100.0,100.0,100.0,12.91,4.03,17.12,3.31,9.54,4.72,54.88,90.68,54.21,66.36,96.8,100.0,87.37,89.12
Uttar Pradesh,Fatehpur,54916,5293,68.07,77.91,6.04,3.07,70.4,73.62,50.4,62.58,90.87,93.25,282.59,77.58,289.99,43.73,1942.89,1396.43,2576.21,1617.84,2720.78,1318.85,3690.84,1792.74,6046.58,4034.13,7180.08,7127.24,91.72,94.38,90.89,94.23,92.47,94.48,13.85,47.22,15.45,56.12,12.43,41.56,88.57,97.66,65.24,96.06,99.41,97.66,95.71,99.71
Uttar Pradesh,Firozabad,48676,13897,72.81,73.52,3.21,2.67,66.94,68.76,54.95,59.43,90.84,90.29,216.7,212.55,217.12,266.12,8845.47,8913.14,8532.27,9611.77,2412.14,2352.27,3442.29,2770.82,11694.58,11789.71,12512.88,12993.11,92.03,93.86,92.46,94.35,91.57,93.37,3.76,4.49,3.11,5.22,4.44,3.74,47.44,66.74,56.87,64.07,96.87,94.43,98.1,96.82
Uttar Pradesh,Gautam Buddha Nagar,67182,22316,66.75,72.19,1.65,1.33,73.7,74.08,58.92,64.29,93.0,94.88,514.82,336.86,568.45,367.07,11951.07,13450.43,12571.36,13833.25,6082.75,2991.66,7164.32,3639.22,19267.25,17155.92,21129.91,18206.61,95.54,97.65,95.25,97.43,95.85,97.93,2.04,1.93,2.01,1.87,2.08,2.0,79.65,92.64,94.54,98.83,97.82,99.2,96.66,96.03
Uttar Pradesh,Ghaziabad,56315,56670,68.33,70.37,2.25,1.55,71.58,73.19,54.78,62.26,93.06,92.42,356.03,285.83,450.9,308.68,12635.87,12842.33,13781.22,14586.02,3834.91,2745.28,4586.09,3340.76,17017.86,15979.79,19020.61,18391.75,98.81,99.0,98.78,99.13,98.84,98.87,1.55,1.74,1.53,1.53,1.56,1.96,90.26,94.09,91.34,92.36,98.24,98.43,97.14,97.3
Uttar Pradesh,Ghazipur,58162,4359,79.14,80.12,7.49,7.45,60.56,58.39,55.79,56.52,84.44,85.09,379.88,728.86,356.54,594.94,10117.94,11127.31,10188.01,12592.96,7346.08,1166.18,8890.15,1388.2,18139.57,13605.44,19845.47,15071.89,99.91,99.66,100.0,99.64,99.84,99.67,6.77,8.25,7.56,8.24,6.1,8.25,72.62,88.04,97.13,97.77,99.07,100.0,94.91,97.61
Uttar Pradesh,Gonda,70564,3760,73.25,84.62,10.13,4.73,58.79,83.43,46.93,81.07,83.8,94.08,1107.11,819.67,1125.93,1443.42,856.27,382.51,916.31,230.95,2214.32,546.45,2866.87,1270.21,4924.8,1748.63,5758.01,3406.47,100.0,100.0,100.0,100.0,100.0,100.0,6.46,19.78,7.04,6.25,5.94,27.12,64.56,91.6,68.92,90.23,91.23,99.8,93.44,99.22
Uttar Pradesh,Gorakhpur,67901,28596,73.07,75.62,6.75,7.73,72.64,70.04,65.95,64.33,87.61,82.88,1119.84,1554.14,1147.96,1204.06,3725.18,3658.09,3653.57,3707.22,1467.33,843.05,1708.68,926.81,6493.22,6121.25,6741.32,5948.99,99.57,99.81,99.41,99.88,99.71,99.73,4.07,6.95,3.96,7.31,4.16,6.54,88.41,94.71,97.86,97.86,98.36,99.32,95.36,95.02
Uttar Pradesh,Hamirpur,54416,8367,82.06,85.66,0.68,3.23,76.46,69.53,50.21,52.33,97.38,93.91,96.57,71.19,137.0,189.8,1789.35,1162.79,1998.85,1518.44,574.78,379.69,935.38,921.91,2681.61,1756.05,3722.54,2792.84,85.69,90.96,85.71,91.89,85.68,90.29,25.91,37.27,26.58,39.71,25.35,35.48,47.12,70.64,54.19,61.64,97.9,99.31,95.3,97.54
Uttar Pradesh,Hardoi,46936,5631,68.87,76.54,15.55,14.4,71.16,71.6,51.1,56.79,82.17,84.77,708.28,889.5,896.4,792.71,1084.98,2429.01,1202.97,3527.55,3241.26,3079.03,4646.94,3448.28,5281.72,6979.13,7083.86,8363.06,97.7,100.0,96.86,100.0,98.4,100.0,5.82,5.06,5.79,4.41,5.84,5.69,88.01,74.34,83.08,50.12,99.93,99.64,94.78,83.09
Uttar Pradesh,Hathras,44520,10542,68.33,70.65,1.9,4.73,70.76,63.93,57.59,48.26,93.99,90.05,752.28,485.52,816.85,342.47,12221.93,10249.96,13167.07,11108.73,3089.08,1060.96,3437.43,1476.88,16641.52,12299.95,18053.56,13784.25,93.63,94.35,92.57,95.32,94.75,93.32,5.91,4.47,5.33,4.91,6.51,3.99,45.65,75.29,56.31,77.94,97.84,99.38,96.37,96.8
Uttar Pradesh,Jalaun,42720,10785,82.43,65.47,5.83,17.27,69.8,56.59,56.97,45.8,92.91,80.58,62.05,69.98,70.24,63.41,1242.5,297.41,1313.77,443.88,641.3,227.43,874.93,549.57,2093.39,594.82,2483.2,1141.41,97.81,100.0,96.87,100.0,98.72,100.0,15.99,18.18,15.22,14.71,16.72,20.37,84.88,91.48,74.78,76.62,99.37,99.21,97.3,99.94
Uttar Pradesh,Jhansi,39734,33856,88.15,94.02,4.4,2.56,77.97,86.54,68.31,78.53,94.08,97.33,196.67,228.51,136.07,103.58,1111.38,1187.16,813.68,1307.7,1184.49,1549.44,1805.86,2188.13,2759.42,3149.04,3006.49,3761.25,58.41,97.82,58.1,97.88,58.73,97.76,25.29,19.0,27.46,18.81,23.02,19.19,64.98,92.41,78.62,91.69,99.13,99.68,91.98,97.01
Uttar Pradesh,Jyotiba Phule Nagar,30274,7653,62.2,61.09,4.1,2.89,67.9,62.7,55.28,60.45,86.57,91.64,243.71,578.03,355.73,419.23,9064.7,4177.61,9275.26,5422.02,4936.5,3652.13,6882.95,4835.1,14902.97,8906.99,17350.8,11375.07,97.15,98.79,97.55,99.12,96.78,98.53,3.04,3.93,3.26,3.87,2.83,3.99,68.41,77.3,69.57,82.24,97.87,99.65,98.43,98.41
Uttar Pradesh,Kannauj,131321,25111,64.56,61.87,2.11,6.75,62.5,55.51,47.24,42.8,91.56,85.5,544.98,489.8,502.3,326.32,16031.6,15673.68,16953.75,17415.2,3827.25,2778.22,4860.84,3520.82,20641.94,19102.3,22583.69,21434.09,96.15,98.24,96.42,98.23,95.87,98.24,8.94,7.31,8.95,7.49,8.94,7.14,64.17,72.11,65.2,79.78,96.07,96.89,93.81,93.41
Uttar Pradesh,Kanpur Nagar,40483,103699,78.41,77.66,2.62,10.87,84.57,70.83,72.51,53.24,96.62,86.17,228.69,198.1,200.5,155.64,3953.74,3936.02,4237.95,5185.91,4792.79,2847.41,2694.32,3281.45,8990.89,7496.2,7149.38,9228.27,99.95,100.0,99.91,100.0,100.0,100.0,10.24,8.54,9.17,8.62,11.8,8.46,80.42,95.9,80.35,79.6,99.11,99.42,91.92,88.43
Uttar Pradesh,Kaushambi,62438,5134,73.36,57.32,20.13,35.98,56.09,39.63,47.88,31.71,74.69,60.98,756.42,332.23,821.85,326.04,4615.44,6312.29,3961.68,7778.3,2975.28,1613.67,3340.93,1630.18,8559.29,8448.03,8373.09,9967.4,99.81,100.0,99.88,100.0,99.74,100.0,6.52,7.14,7.05,5.62,6.02,8.41,79.22,86.04,96.17,98.01,98.72,99.87,93.99,92.15
Uttar Pradesh,Kheri,56245,4655,66.19,97.0,14.37,1.0,64.68,92.0,37.04,52.0,82.84,99.0,2020.95,802.36,2284.31,607.19,1674.97,1900.34,1760.2,2008.41,3227.62,2364.86,4192.46,2615.6,7482.29,6207.77,8914.77,6212.05,99.13,100.0,99.2,100.0,99.07,100.0,12.54,16.07,11.89,19.73,13.16,12.03,50.65,89.7,39.77,82.3,93.86,96.04,88.13,94.58
Uttar Pradesh,Lalitpur,35126,4403,93.42,95.65,3.85,0.72,70.59,94.93,51.06,85.51,94.81,97.1,304.74,695.35,26.69,696.52,325.47,260.76,1698.81,646.77,2679.96,1216.86,3580.99,1890.55,4217.98,2607.56,8017.38,3980.1,76.88,78.57,96.75,100.0,64.99,62.5,24.22,28.18,10.61,25.0,36.35,32.0,66.5,88.86,78.7,83.62,98.94,98.12,99.38,99.46
Uttar Pradesh,Lucknow,47267,58271,90.24,91.88,2.72,3.83,88.82,90.03,61.38,76.68,96.82,95.71,851.05,436.56,913.68,528.94,2844.95,1559.64,3119.46,1635.59,3493.65,2436.1,4482.6,3263.68,7368.86,4688.91,8853.36,5747.08,97.61,96.94,97.3,96.94,97.91,96.93,11.86,15.41,11.78,15.54,11.94,15.29,81.02,95.27,78.54,88.01,95.99,97.58,90.95,93.54
Uttar Pradesh,Mahoba,45973,17564,89.83,85.55,0.95,2.82,80.68,68.6,68.35,64.95,97.45,96.51,88.91,67.22,63.7,63.96,144.19,246.47,234.01,255.85,1565.5,1165.14,1784.83,1599.08,1945.21,1523.64,2107.61,2034.03,98.35,100.0,100.0,100.0,96.63,100.0,28.02,32.2,27.53,30.88,28.55,33.33,54.15,76.84,91.42,98.79,99.23,98.87,96.71,98.19
Uttar Pradesh,Mainpuri,51798,9025,55.96,59.01,2.87,2.09,64.15,65.01,49.65,55.61,88.19,89.82,388.46,495.61,293.73,164.2,12322.29,10633.03,12197.66,11775.74,2140.52,1351.66,2828.78,2275.39,15218.33,12840.73,15743.59,14543.75,97.35,95.13,99.27,95.26,95.36,95.0,19.72,19.52,20.99,18.97,18.36,20.03,63.24,75.36,56.35,69.45,95.48,97.81,96.25,95.02
Uttar Pradesh,Mathura,44037,15893,64.95,81.25,2.63,2.47,58.49,68.42,42.94,50.66,86.73,92.11,362.8,539.31,343.39,676.72,17473.34,16095.4,17884.21,18750.88,2279.13,1498.08,3080.35,1987.88,20513.69,18600.19,21888.97,22120.4,91.79,96.28,91.62,96.84,91.97,95.73,2.86,4.66,2.12,4.13,3.66,5.19,55.21,75.55,57.56,73.49,91.9,98.16,96.52,94.98
Uttar Pradesh,Mau,60305,14445,71.66,66.99,8.78,7.18,63.34,59.81,53.65,54.37,84.86,79.22,1660.56,700.58,1511.38,671.72,10573.48,9491.24,9898.17,11367.55,7577.02,5170.98,9746.43,7423.36,20144.94,15462.89,21498.87,19789.87,98.27,99.61,98.21,99.57,98.31,99.65,4.7,2.8,4.31,3.25,5.04,2.45,87.42,97.88,94.93,97.73,97.88,99.07,95.07,92.41
Uttar Pradesh,Meerut,50081,27607,64.58,59.96,2.6,3.14,73.26,68.6,59.67,55.05,93.05,88.42,714.39,516.83,660.6,507.57,11826.8,10085.21,12865.49,10854.29,4520.73,2276.85,4644.19,2397.31,17654.84,13242.07,18891.8,14251.13,96.68,96.72,96.82,97.26,96.54,96.16,3.54,2.89,3.91,3.15,3.15,2.62,71.68,83.1,58.4,77.51,97.21,98.65,97.84,98.14
Uttar Pradesh,Mirzapur,34551,3629,67.66,70.08,11.15,7.87,56.24,58.27,43.61,44.88,80.19,77.95,515.71,545.85,411.96,192.31,3923.3,6659.39,4015.48,6730.77,2940.71,1965.07,3109.4,1923.08,8028.67,9497.82,8362.47,9423.08,99.44,100.0,99.49,100.0,99.39,100.0,5.68,4.67,4.69,4.6,6.65,4.76,69.44,86.52,96.7,97.67,98.05,99.83,96.28,96.17
Uttar Pradesh,Moradabad,48627,18005,62.24,70.31,4.01,3.6,70.77,73.26,50.39,57.33,91.59,94.09,836.56,341.66,707.54,454.98,5410.43,4185.35,6053.77,4621.65,4543.27,3907.75,5716.98,4741.38,11880.97,9054.03,13977.3,10716.0,95.83,99.6,96.08,99.76,95.59,99.44,2.71,2.65,3.25,2.6,2.21,2.7,54.84,83.0,48.38,52.96,99.12,99.96,98.58,99.18
Uttar Pradesh,Muzaffarnagar,61454,14295,61.11,69.26,3.38,2.42,70.44,71.33,51.81,58.2,89.88,91.71,392.07,404.69,343.01,327.05,17427.9,16120.33,19435.29,18813.27,1994.1,1389.45,2434.42,1728.7,20320.98,18561.99,22893.24,21663.29,98.09,98.01,98.15,98.04,98.03,97.99,4.08,6.9,3.97,6.6,4.18,7.19,79.2,90.26,78.91,80.48,99.13,98.58,98.27,97.41
Uttar Pradesh,Pilibhit,36896,6142,60.91,77.46,4.78,3.17,68.66,73.24,54.96,59.51,90.18,95.42,789.28,478.93,654.91,315.79,15039.24,10600.26,15124.14,11508.77,6435.03,4821.2,7166.9,5228.07,22611.81,16060.03,23377.46,17228.07,97.47,98.89,97.45,99.2,97.5,98.57,3.04,3.15,3.04,3.01,3.04,3.31,41.33,69.96,36.88,47.08,99.11,99.76,96.3,97.62
Uttar Pradesh,Pratapgarh,83171,3599,77.4,87.95,9.14,6.02,71.51,80.12,64.26,76.51,84.1,90.96,979.33,1383.65,994.3,1138.52,3954.23,6100.63,3638.36,6198.61,6570.5,4276.73,5969.11,3858.32,11815.1,11823.9,10908.59,11321.95,99.69,100.0,99.73,100.0,99.65,100.0,7.81,9.26,8.25,9.57,7.4,8.94,83.5,99.62,93.23,93.19,97.72,99.81,94.4,98.3
Uttar Pradesh,Rae Bareli,61580,5355,75.81,84.85,3.01,5.05,76.83,85.86,54.74,55.56,94.86,90.91,1296.24,964.39,1255.48,1447.42,391.47,408.01,363.75,936.57,3394.08,3115.73,4339.37,3746.28,5256.06,4562.31,6225.18,6172.84,100.0,100.0,100.0,100.0,100.0,100.0,13.43,17.91,12.7,20.33,14.06,15.86,75.79,92.88,58.47,76.91,98.2,100.0,90.93,93.14
Uttar Pradesh,Rampur,52283,14177,58.47,59.44,3.32,4.02,73.9,76.05,61.13,62.76,91.78,91.43,536.22,406.5,516.67,256.49,29682.28,27936.64,32356.83,32060.95,4058.62,2396.97,4632.81,2761.01,34732.17,31090.55,37959.46,35561.26,96.85,98.3,96.79,98.15,96.91,98.43,5.21,4.31,5.14,4.41,5.27,4.22,51.97,82.91,50.57,61.25,98.68,98.16,98.22,98.37
Uttar Pradesh,Saharanpur,47551,10959,69.59,80.0,1.06,0.44,83.68,80.89,77.65,76.67,96.44,97.56,295.37,305.04,339.05,278.05,8719.42,7285.12,10628.08,9016.88,4499.0,1955.86,5543.4,2879.84,13664.72,9653.69,16688.18,12373.39,99.11,98.97,99.18,98.88,99.05,99.04,4.68,8.53,4.63,8.65,4.73,8.43,72.11,86.9,77.44,84.27,98.49,98.87,99.05,98.62
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),49036,6700,63.81,50.0,17.24,23.53,55.56,41.18,43.84,28.92,75.73,67.65,664.86,313.09,431.57,240.3,3374.1,3036.94,3599.83,3295.57,951.75,1095.8,990.9,823.89,5384.81,4665.0,5340.86,4634.4,99.77,99.65,99.85,100.0,99.69,99.26,5.43,3.53,6.23,3.36,4.66,3.73,82.93,86.2,95.25,97.93,98.27,99.89,91.16,92.17
Uttar Pradesh,Shahjahanpur,46239,9068,49.74,63.55,4.59,2.1,53.8,65.89,38.56,56.07,84.88,92.52,511.21,321.13,372.81,264.55,13914.2,17876.26,14249.63,17772.97,2922.02,2997.22,3249.28,1996.15,17787.71,21387.28,18226.5,20202.02,95.93,97.06,95.91,97.5,95.96,96.55,2.06,2.8,2.0,2.98,2.13,2.59,54.52,85.87,35.56,65.39,99.43,99.77,94.39,97.02
Uttar Pradesh,Sitapur,45469,4768,69.19,66.67,18.07,20.16,53.67,57.2,34.38,45.27,78.94,74.07,914.63,857.84,802.53,550.96,4518.29,3839.87,4877.59,5050.51,2159.23,1062.09,2528.03,1882.46,7899.03,6903.59,8606.59,8218.55,91.34,89.66,91.29,88.76,91.38,90.5,7.21,11.22,7.31,10.0,7.1,12.35,57.77,94.95,52.86,60.41,91.72,96.53,96.51,95.27
Uttar Pradesh,Sonbhadra,29171,4391,48.5,52.25,27.19,27.93,36.39,49.55,31.44,44.14,60.75,63.06,381.43,505.98,287.77,272.48,6247.7,6623.74,6353.66,6648.5,13753.16,4645.81,12799.51,5885.56,20622.47,11775.53,19618.95,13133.51,99.82,100.0,99.81,100.0,99.83,100.0,6.14,19.08,5.59,18.29,6.73,19.92,34.75,83.88,94.29,97.88,97.31,99.01,95.24,96.04
Uttar Pradesh,Unnao,59491,10195,79.97,84.29,8.51,9.97,74.62,69.18,62.95,63.75,91.18,89.73,264.85,155.67,278.76,170.83,796.53,1323.21,867.61,960.92,1848.89,2043.2,2640.32,2284.86,3609.47,4280.99,4806.83,4035.87,98.53,100.0,99.36,100.0,97.84,100.0,9.51,11.74,11.55,11.36,7.78,12.17,72.11,86.33,42.89,93.13,95.63,98.61,79.27,96.5
Uttar Pradesh,Varanasi,52489,33777,81.44,79.67,6.71,7.83,72.77,65.54,67.72,61.21,88.73,82.13,1020.03,784.31,1013.96,834.8,3142.17,4200.83,4002.46,4194.38,8069.27,7266.79,8829.12,8198.72,12696.83,12578.73,14161.88,13540.11,99.84,99.73,99.86,99.72,99.81,99.75,6.09,6.53,6.38,6.21,5.82,6.88,89.63,94.53,97.79,98.98,99.81,99.54,97.18,96.73
Uttarakhand,Almora,112008,8649,63.08,87.43,1.43,1.14,93.75,97.14,87.13,90.29,97.05,98.86,176.2,146.16,156.54,98.43,396.98,730.82,435.82,1328.74,849.15,341.05,1142.02,344.49,1942.43,1339.83,2433.47,1968.5,94.48,94.07,94.97,96.36,94.23,93.75,41.12,50.39,41.08,50.94,41.19,50.67,92.08,98.73,64.13,86.85,97.66,99.2,96.44,98.52
Uttarakhand,Bageshwar,111343,3270,52.31,76.92,3.64,1.28,87.14,85.9,82.46,84.62,94.12,97.44,206.62,426.31,225.09,646.41,1037.37,1400.73,1159.31,1745.31,2083.49,1522.53,3372.31,1874.6,3906.7,3775.88,5507.75,4848.09,92.46,95.62,93.34,95.16,91.93,96.0,63.27,87.02,66.43,79.66,61.26,93.06,91.01,99.47,86.21,90.81,98.73,96.64,97.73,97.35
Uttarakhand,Chamoli,137156,23957,46.78,77.72,1.13,0.8,93.32,93.9,87.28,91.11,97.53,98.81,71.04,32.93,66.92,9.06,745.13,4700.75,1421.42,8035.15,1905.44,2132.21,3100.36,2545.52,2773.7,6931.75,4648.35,10725.61,92.51,96.64,91.58,96.67,93.02,96.62,36.19,24.82,39.4,27.03,34.45,23.25,90.28,95.82,72.55,91.59,98.52,98.98,96.25,97.86
Uttarakhand,Champawat,24238,4241,68.87,73.79,1.23,5.52,92.05,83.45,88.69,81.38,98.21,92.41,174.08,46.23,148.71,257.07,1192.44,554.79,1338.4,565.55,1061.89,1664.36,1239.26,1902.31,4473.84,3929.73,4824.85,5192.8,97.18,100.0,95.91,100.0,98.46,100.0,23.99,17.2,24.75,15.29,23.3,18.81,96.56,95.67,97.81,93.85,99.61,99.72,98.68,99.02
Uttarakhand,Dehradun,147029,155980,90.05,93.92,2.3,1.87,88.71,93.25,83.83,89.91,96.81,97.97,374.04,462.34,364.5,562.88,2294.8,3027.44,2980.83,3313.46,2613.96,1333.1,2896.72,1385.44,5449.76,4890.28,6494.98,5370.59,99.65,99.92,99.72,99.92,99.59,99.92,13.34,16.75,11.78,17.77,14.71,15.76,94.55,97.22,97.49,97.19,98.92,99.16,96.54,97.03
Uttarakhand,Haridwar,43437,25776,73.17,86.26,16.47,8.65,63.52,79.53,54.9,74.31,80.04,90.25,590.69,384.62,614.2,174.05,5234.0,1739.51,5620.36,2349.64,26085.32,15576.92,25662.43,15006.77,31991.4,17770.98,31974.12,17598.14,100.0,100.0,100.0,100.0,100.0,100.0,8.48,6.46,5.59,6.2,11.79,6.76,89.87,94.92,97.15,97.2,99.34,97.84,97.43,96.9
Uttarakhand,Nainital,63730,36814,77.02,82.06,1.71,2.25,90.3,89.72,88.24,85.39,95.88,97.11,327.8,565.9,323.46,600.93,945.57,1898.67,1337.2,2368.73,2291.42,2633.81,2981.19,3086.35,4251.9,5214.72,5302.12,6236.87,96.19,98.35,96.81,98.78,95.66,97.94,38.06,40.62,37.21,40.45,38.79,40.78,96.91,96.43,68.39,77.6,99.13,98.15,97.73,97.71
Uttarakhand,Pauri Garhwal,188897,24187,87.38,87.72,1.24,1.1,90.0,90.55,84.06,84.72,97.19,95.59,365.39,322.78,382.06,416.16,1407.26,1260.84,1636.92,1715.39,1595.3,1270.93,1821.32,1349.98,3429.06,2975.59,3903.98,3633.78,99.77,100.0,99.77,100.0,99.77,100.0,26.41,24.35,27.34,25.42,25.72,23.46,92.4,96.74,95.53,98.5,97.74,99.84,95.71,96.2
Uttarakhand,Pithoragarh,84627,18372,66.41,93.56,1.43,0.4,92.45,97.18,87.66,94.97,97.73,99.6,211.19,213.53,222.9,232.87,625.84,1078.89,591.27,1330.67,1589.06,1786.92,2437.82,2328.68,2572.89,7777.03,3477.24,8593.92,91.5,93.59,93.79,96.1,89.95,91.35,50.31,26.29,48.77,27.82,51.39,24.86,95.41,99.17,97.43,99.05,99.46,99.39,96.66,99.14
Uttarakhand,Tehri Garhwal,181918,23657,76.63,93.27,6.13,2.66,81.18,89.05,74.85,84.82,87.61,95.93,296.89,450.62,284.91,461.92,4218.17,4515.36,5023.49,5002.46,1927.56,947.21,3162.05,1375.92,6581.07,6133.9,8620.54,7262.9,99.78,99.93,99.69,100.0,99.83,99.86,25.9,23.06,22.56,24.59,27.89,21.68,86.19,96.03,95.37,97.31,96.77,99.06,94.31,98.03
Uttarakhand,Udham Singh Nagar,64614,26904,74.89,79.77,2.6,3.25,89.53,86.79,83.35,82.18,96.46,96.65,168.88,321.22,211.36,382.05,437.27,542.51,478.86,829.13,1305.79,1513.31,1994.72,2015.93,2349.22,2655.44,3272.79,3503.5,97.46,98.13,97.3,98.12,97.78,98.14,18.26,16.37,17.81,16.99,18.58,15.84,91.55,98.81,46.68,45.5,98.39,99.41,98.68,97.44
Uttarakhand,Uttarkashi,67984,8664,86.48,94.09,7.35,3.76,83.17,89.25,74.22,79.03,91.13,95.7,1243.37,602.69,1439.56,790.31,652.82,695.41,1125.66,1159.11,4522.39,2758.46,5867.63,5558.48,6479.23,4172.46,8563.24,7586.93,99.72,99.36,99.72,100.0,99.72,98.96,25.47,31.97,26.62,30.0,24.62,33.22,86.32,98.89,95.37,98.52,95.95,99.04,91.32,93.77
